week,qn_number,qn_type,topic,stem,option,is_answer,num_response,qn_id
1,1,MC,IEEE 42010,"According to the ISO/IEC/IEEE 42010 standard, what does a system's viewpoint determine in an architectural description?",The number of stakeholders who interact with the system,False,7,qn1
1,1,MC,IEEE 42010,"According to the ISO/IEC/IEEE 42010 standard, what does a system's viewpoint determine in an architectural description?",The mission that the system is intended to fulfill,False,18,qn1
1,1,MC,IEEE 42010,"According to the ISO/IEC/IEEE 42010 standard, what does a system's viewpoint determine in an architectural description?","The conventions by which a view is created, depicted, and analyzed, including languages and techniques used to describe the view",True,78,qn1
1,1,MC,IEEE 42010,"According to the ISO/IEC/IEEE 42010 standard, what does a system's viewpoint determine in an architectural description?",The environmental factors that influence the system,False,6,qn1
1,2,MC,ISO 25010,"According to the ISO 25010, which sub-characteristic of the Security refers to which a system",Non-repudiation,False,3,qn2
1,2,MC,ISO 25010,"According to the ISO 25010, which sub-characteristic of the Security refers to which a system",Accountability,False,3,qn2
1,2,MC,ISO 25010,"According to the ISO 25010, which sub-characteristic of the Security refers to which a system",Integrity,True,75,qn2
1,2,MC,ISO 25010,"According to the ISO 25010, which sub-characteristic of the Security refers to which a system",Authenticity,False,28,qn2
1,3,MC,ISO 25010 II,"A team of software engineers is developing a new video conferencing application. Their main concern is to ensure that the application can be easily installed and uninstalled in different environments, ranging from personal computers to large-scale business systems. According to the characteristic discussed in the provided context, which quality attribute should the team primarily focus on?",Usability,False,1,qn3
1,3,MC,ISO 25010 II,"A team of software engineers is developing a new video conferencing application. Their main concern is to ensure that the application can be easily installed and uninstalled in different environments, ranging from personal computers to large-scale business systems. According to the characteristic discussed in the provided context, which quality attribute should the team primarily focus on?",Portability,True,87,qn3
1,3,MC,ISO 25010 II,"A team of software engineers is developing a new video conferencing application. Their main concern is to ensure that the application can be easily installed and uninstalled in different environments, ranging from personal computers to large-scale business systems. According to the characteristic discussed in the provided context, which quality attribute should the team primarily focus on?",Compatibility,False,19,qn3
1,3,MC,ISO 25010 II,"A team of software engineers is developing a new video conferencing application. Their main concern is to ensure that the application can be easily installed and uninstalled in different environments, ranging from personal computers to large-scale business systems. According to the characteristic discussed in the provided context, which quality attribute should the team primarily focus on?",Maintainability,False,2,qn3
1,4,MC,IEEE 1471,"Based on the IEEE 1471 definition of architecture, which of the following is NOT included in a system's architecture?",The fundamental organization of components in a system.,False,1,qn4
1,4,MC,IEEE 1471,"Based on the IEEE 1471 definition of architecture, which of the following is NOT included in a system's architecture?",The relationships between the system's components.,False,0,qn4
1,4,MC,IEEE 1471,"Based on the IEEE 1471 definition of architecture, which of the following is NOT included in a system's architecture?",The principles guiding the system's design and evolution.,False,5,qn4
1,4,MC,IEEE 1471,"Based on the IEEE 1471 definition of architecture, which of the following is NOT included in a system's architecture?",The relationship of the system to the environment.,False,5,qn4
1,4,MC,IEEE 1471,"Based on the IEEE 1471 definition of architecture, which of the following is NOT included in a system's architecture?",The operational strategy and implementation of the system.,True,98,qn4
1,5,MC,ASRs,"A team of developers is working on a new e-commerce application. They have identified several requirements, including a high-performance search feature that will be used frequently by users, a policy that mandates the use of Microsoft Azure technology, and a standard login use case that verifies user credentials against a database. According to the definition of Architecturally Significant Requirements (ASRs), which of these requirements would NOT be considered an ASR?",The high-performance search feature because of its frequent usage.,False,12,qn5
1,5,MC,ASRs,"A team of developers is working on a new e-commerce application. They have identified several requirements, including a high-performance search feature that will be used frequently by users, a policy that mandates the use of Microsoft Azure technology, and a standard login use case that verifies user credentials against a database. According to the definition of Architecturally Significant Requirements (ASRs), which of these requirements would NOT be considered an ASR?",The mandate to use Microsoft Azure technology.,False,11,qn5
1,5,MC,ASRs,"A team of developers is working on a new e-commerce application. They have identified several requirements, including a high-performance search feature that will be used frequently by users, a policy that mandates the use of Microsoft Azure technology, and a standard login use case that verifies user credentials against a database. According to the definition of Architecturally Significant Requirements (ASRs), which of these requirements would NOT be considered an ASR?",The standard login use case for user credentials verification.,True,77,qn5
1,5,MC,ASRs,"A team of developers is working on a new e-commerce application. They have identified several requirements, including a high-performance search feature that will be used frequently by users, a policy that mandates the use of Microsoft Azure technology, and a standard login use case that verifies user credentials against a database. According to the definition of Architecturally Significant Requirements (ASRs), which of these requirements would NOT be considered an ASR?",Both the high-performance search feature and the mandate to use Microsoft Azure technology.,False,4,qn5
