week,qn_number,qn_type,stem,topic,option,is_answer,num_response,qn_id
1,1,MC,Which one of the following best define what is an architecture in an IT solution?,Definition of Architecture,"A set of software classes and objects that are developed, compiled and packaged together.",False,1,qn01
1,1,MC,Which one of the following best define what is an architecture in an IT solution?,Definition of Architecture,"A set of software, hardware and network components that organised together and deployed in a specific IT environment.",True,95,qn01
1,1,MC,Which one of the following best define what is an architecture in an IT solution?,Definition of Architecture,A set of trade-offs in the decisions that determine the functionality of an software system.,False,6,qn01
1,1,MC,Which one of the following best define what is an architecture in an IT solution?,Definition of Architecture,A set of drawings or diagrams or views that demonstrates what are the software and hardware components required of an IT solution.,False,9,qn01
1,2,MC,"Based on IEEE 42010 standard, the architecture rationale is best defined by",IEEE 42010,A template that can be used to describe the design of the architecture.,False,8,qn02
1,2,MC,"Based on IEEE 42010 standard, the architecture rationale is best defined by",IEEE 42010,A representation of a whole system from the perspective of a related set of concerns,False,15,qn02
1,2,MC,"Based on IEEE 42010 standard, the architecture rationale is best defined by",IEEE 42010,"The explanation, justification or reasoning about design decisions that have been made and architectural alternatives not chosen.",True,79,qn02
1,2,MC,"Based on IEEE 42010 standard, the architecture rationale is best defined by",IEEE 42010,A set of requirements that the architecture focuses on.,False,9,qn02
1,3,MC,"Based on ISO 25010, which of the following best describes the fault tolerance quality attribute ?",ISO 25010 - Reliability,"Degree to which a system, product or component meets needs for reliability under normal operation.",False,2,qn03
1,3,MC,"Based on ISO 25010, which of the following best describes the fault tolerance quality attribute ?",ISO 25010 - Reliability,"Degree to which, in the event of an interruption or a failure, a product or system can recover the data directly affected and re-establish the desired state of the system.",False,34,qn03
1,3,MC,"Based on ISO 25010, which of the following best describes the fault tolerance quality attribute ?",ISO 25010 - Reliability,"Degree to which a system, product or component operates as intended despite the presence of hardware or software faults.",True,75,qn03
1,3,MC,"Based on ISO 25010, which of the following best describes the fault tolerance quality attribute ?",ISO 25010 - Reliability,"Degree to which a system, product or component is operational and accessible when required for use.",False,0,qn03
1,4,MC,"According to ISO 25010, what should we do to achieve better performance quality?",ISO 25010 - Performance Efficiency,Ensure the set of functions is completed on schedule,False,39,qn04
1,4,MC,"According to ISO 25010, what should we do to achieve better performance quality?",ISO 25010 - Performance Efficiency,Reduce the size of the image display on the browser page,True,28,qn04
1,4,MC,"According to ISO 25010, what should we do to achieve better performance quality?",ISO 25010 - Performance Efficiency,Ensure there are redundancies to failover,False,42,qn04
1,4,MC,"According to ISO 25010, what should we do to achieve better performance quality?",ISO 25010 - Performance Efficiency,Ensure that data are not modified by unauthorised users,False,2,qn04
1,5,MC,"According to ISO 25010, which one of the following best describe confidentiality with regard to the security quality?",ISO 25010 - Security,Proper authentication before accessing data,True,91,qn05
1,5,MC,"According to ISO 25010, which one of the following best describe confidentiality with regard to the security quality?",ISO 25010 - Security,Proper authorisation before modifying data,False,16,qn05
1,5,MC,"According to ISO 25010, which one of the following best describe confidentiality with regard to the security quality?",ISO 25010 - Security,Audit logs to ensure transactions can be re-validated,False,4,qn05
1,5,MC,"According to ISO 25010, which one of the following best describe confidentiality with regard to the security quality?",ISO 25010 - Security,Protect data only at rest.,False,0,qn05
1,6,MC,Which one of the following best express a good quality attribute?,ISO 25010 - General,Response time should be good for the checkout page.,False,8,qn06
1,6,MC,Which one of the following best express a good quality attribute?,ISO 25010 - General,"Besides the login page, user must be authenticated for rest of the pages.",True,41,qn06
1,6,MC,Which one of the following best express a good quality attribute?,ISO 25010 - General,The system should achieve high performance for good user experience.,False,5,qn06
1,6,MC,Which one of the following best express a good quality attribute?,ISO 25010 - General,The system must be maintainable for next 5 years.,False,57,qn06
1,7,MC,Which one of the following is NOT considered an architectural significant requirement?,ASR,All data transmissions over the network must be encrypted.,False,5,qn07
1,7,MC,Which one of the following is NOT considered an architectural significant requirement?,ASR,There is no single point of failure when the user submit a buy order on the financial application.,False,16,qn07
1,7,MC,Which one of the following is NOT considered an architectural significant requirement?,ASR,This financial application should conform to organisation's security policy.,False,6,qn07
1,7,MC,Which one of the following is NOT considered an architectural significant requirement?,ASR,The Java application is coded based on Oracle coding conventions based on the preference of the team.,True,84,qn07
1,8,MC,"For AWS Shared Responsibility Model, which of the following is INCORRECT in terms of patch and configuration management?",AWS Shared Responsibility Model,"For IaaS, Customer is responsible to configure his/her guest operating systems",False,6,qn08
1,8,MC,"For AWS Shared Responsibility Model, which of the following is INCORRECT in terms of patch and configuration management?",AWS Shared Responsibility Model,"For IaaS, AWS is responsible to patch the security vulnerabilities of the database software installed on EC2.",True,65,qn08
1,8,MC,"For AWS Shared Responsibility Model, which of the following is INCORRECT in terms of patch and configuration management?",AWS Shared Responsibility Model,"For PaaS, Customer is responsible to configure the AWS relational database service.",False,17,qn08
1,8,MC,"For AWS Shared Responsibility Model, which of the following is INCORRECT in terms of patch and configuration management?",AWS Shared Responsibility Model,"For SaaS, AWS is responsible to install the software.",False,23,qn08
1,9,MC,"Based on NIST definition of Cloud Computing Service Models, which of the following best describes Platform as a Service (PaaS)?",Cloud Service Models,"The consumer does not manage or control the underlying cloud infrastructure including network, servers, operating systems, storage, or even individual application capabilities, with the possible exception of limited user specific application configuration settings.",False,8,qn09
1,9,MC,"Based on NIST definition of Cloud Computing Service Models, which of the following best describes Platform as a Service (PaaS)?",Cloud Service Models,"The consumer does not manage or control the underlying cloud infrastructure including network, servers, operating systems, or storage, but has control over the deployed applications and possibly configuration settings for the application-hosting environment.",True,89,qn09
1,9,MC,"Based on NIST definition of Cloud Computing Service Models, which of the following best describes Platform as a Service (PaaS)?",Cloud Service Models,"The consumer does not manage or control the underlying cloud infrastructure but has control over operating systems, storage, and deployed applications; and possibly limited control of select networking components (e.g., host firewalls).",False,9,qn09
